run_kind,run_index,seed,step,operation,actor_seat,revision_before,revision_after,reference_rule_ns,authority_handle_ns,serial_codec_fanout_ns,host_local_deliveries,remote_deliveries,remote_server_payload_bytes,remote_client_payload_bytes
"warmup","1","20260910","2","JOIN","2","1","2",,"71464","502842","1","2","1225","192"
"warmup","1","20260910","3","JOIN","3","2","3",,"67897","635430","1","3","1998","193"
"warmup","1","20260910","4","JOIN","4","3","4",,"71234","1011986","1","4","2917","193"
"warmup","1","20260910","5","JOIN","5","4","5",,"138119","1162568","1","5","3982","193"
"warmup","1","20260910","6","READY","1","5","6",,"43973","1130969","1","6","4014","163"
"warmup","1","20260910","7","READY","2","6","7",,"38372","1132872","1","6","4009","163"
"warmup","1","20260910","8","READY","3","7","8",,"40767","1144875","1","6","4004","163"
"warmup","1","20260910","9","READY","4","8","9",,"50965","1083720","1","6","3999","163"
"warmup","1","20260910","10","READY","5","9","10",,"41318","1237578","1","6","4000","163"
"warmup","1","20260910","11","START_GAME","0","10","11","150061","159318","1978275","2","5","8655","0"
"warmup","1","20260910","12","PLAY_ONE","0","11","12","27973","82515","2059388","2","5","8788","0"
"warmup","1","20260910","13","PLAY_ONE","1","12","13","30527","129492","2570986","1","6","8913","172"
"warmup","1","20260910","14","PLAY_ONE","2","13","14","35887","83797","2089915","1","6","8883","172"
"warmup","1","20260910","15","PLAY_ONE","3","14","15","28824","85461","1966574","1","6","8854","172"
"warmup","1","20260910","16","PLAY_ONE","4","15","16","30106","92143","2124780","1","6","8825","172"
"warmup","1","20260910","17","PLAY_ONE","5","16","17","32721","81894","1924725","1","6","8798","172"
"warmup","1","20260910","18","CHALLENGE","0","17","18","18465","73648","2366443","2","5","9513","0"
"warmup","1","20260910","19","ADVANCE_ROUND","0","18","19","76022","165040","1959120","2","5","9638","0"
"warmup","1","20260910","20","PLAY_ONE","1","19","20","86001","104867","2085096","1","6","9898","172"
"warmup","1","20260910","21","CHALLENGE","2","20","21","18004","89678","2005427","1","6","9785","151"
"warmup","1","20260910","22","ADVANCE_ROUND","0","21","22","96551","119815","2175556","2","5","9638","0"
"warmup","1","20260910","23","PLAY_ONE","2","22","23","26249","99056","2018992","1","6","9898","172"
"warmup","1","20260910","24","CHALLENGE","3","23","24","21240","67917","2126513","1","6","9656","151"
"warmup","1","20260910","25","ADVANCE_ROUND","0","24","25","72376","149139","2106826","2","5","9474","0"
"warmup","1","20260910","26","PLAY_ONE","3","25","26","41027","81893","2136341","1","6","9733","172"
"warmup","1","20260910","27","CHALLENGE","4","26","27","22613","79208","2073153","1","6","9625","151"
"warmup","1","20260910","28","ADVANCE_ROUND","0","27","28","88606","177954","2121594","2","5","9479","0"
"warmup","1","20260910","29","PLAY_ONE","4","28","29","28013","80081","2147703","1","6","9738","172"
"warmup","1","20260910","30","CHALLENGE","5","29","30","18425","68689","1826021","1","6","9625","151"
"warmup","1","20260910","31","ADVANCE_ROUND","0","30","31","75020","128781","1926138","2","5","9482","0"
"warmup","1","20260910","32","PLAY_ONE","5","31","32","25668","83397","2400336","1","6","9744","172"
"warmup","1","20260910","33","CHALLENGE","0","32","33","22121","79619","2156760","2","5","9345","0"
"warmup","1","20260910","34","ADVANCE_ROUND","0","33","34","88817","146214","2130491","2","5","9324","0"
"warmup","1","20260910","35","PLAY_ONE","0","34","35","29275","126017","2245406","2","5","9457","0"
"warmup","1","20260910","36","CHALLENGE","1","35","36","24266","99096","1938952","1","6","9340","151"
"warmup","1","20260910","37","ADVANCE_ROUND","0","36","37","93095","155581","1694545","2","5","9162","0"
"warmup","1","20260910","38","PLAY_ONE","3","37","38","27461","85441","2160016","1","6","9422","172"
