run_kind,run_index,seed,step,operation,actor_seat,revision_before,revision_after,reference_rule_ns,authority_handle_ns,serial_codec_fanout_ns,host_local_deliveries,remote_deliveries,remote_server_payload_bytes,remote_client_payload_bytes
"sample","3","20260910","5","JOIN","5","4","5",,"49643","510045","1","5","3982","193"
"sample","3","20260910","6","READY","1","5","6",,"29555","551613","1","6","4014","163"
"sample","3","20260910","7","READY","2","6","7",,"28182","520475","1","6","4009","163"
"sample","3","20260910","8","READY","3","7","8",,"51396","542596","1","6","4004","163"
"sample","3","20260910","9","READY","4","8","9",,"28954","817571","1","6","3999","163"
"sample","3","20260910","10","READY","5","9","10",,"28624","595695","1","6","4000","163"
"sample","3","20260910","11","START_GAME","0","10","11","42901","84297","1094901","2","5","8655","0"
"sample","3","20260910","12","PLAY_ONE","0","11","12","25097","75902","1093829","2","5","8788","0"
"sample","3","20260910","13","PLAY_ONE","1","12","13","24095","69862","1254189","1","6","8913","172"
"sample","3","20260910","14","PLAY_ONE","2","13","14","63359","78247","1026863","1","6","8883","172"
"sample","3","20260910","15","PLAY_ONE","3","14","15","39474","65412","1000865","1","6","8854","172"
"sample","3","20260910","16","PLAY_ONE","4","15","16","21020","74429","1182445","1","6","8825","172"
"sample","3","20260910","17","PLAY_ONE","5","16","17","20488","61596","980807","1","6","8798","172"
"sample","3","20260910","18","CHALLENGE","0","17","18","15559","54362","1015653","2","5","9513","0"
"sample","3","20260910","19","ADVANCE_ROUND","0","18","19","22502","71765","1353846","2","5","9638","0"
"sample","3","20260910","20","PLAY_ONE","1","19","20","36078","106870","1209837","1","6","9898","172"
"sample","3","20260910","21","CHALLENGE","2","20","21","18986","86232","1309924","1","6","9785","151"
"sample","3","20260910","22","ADVANCE_ROUND","0","21","22","22462","123251","3472375","2","5","9638","0"
"sample","3","20260910","23","PLAY_ONE","2","22","23","22171","69390","1145015","1","6","9898","172"
"sample","3","20260910","24","CHALLENGE","3","23","24","17844","61996","1081906","1","6","9656","151"
"sample","3","20260910","25","ADVANCE_ROUND","0","24","25","24646","66074","1006956","2","5","9474","0"
"sample","3","20260910","26","PLAY_ONE","3","25","26","22321","77846","1285678","1","6","9733","172"
"sample","3","20260910","27","CHALLENGE","4","26","27","16070","58570","1146739","1","6","9625","151"
"sample","3","20260910","28","ADVANCE_ROUND","0","27","28","25888","82775","1167918","2","5","9479","0"
"sample","3","20260910","29","PLAY_ONE","4","28","29","21220","67847","1168719","1","6","9738","172"
"sample","3","20260910","30","CHALLENGE","5","29","30","16240","73778","1118004","1","6","9625","151"
"sample","3","20260910","31","ADVANCE_ROUND","0","30","31","29446","72516","1026824","2","5","9482","0"
"sample","3","20260910","32","PLAY_ONE","5","31","32","21039","79179","1074954","1","6","9744","172"
"sample","3","20260910","33","CHALLENGE","0","32","33","17363","56436","1213833","2","5","9345","0"
"sample","3","20260910","34","ADVANCE_ROUND","0","33","34","25488","69310","1066868","2","5","9324","0"
"sample","3","20260910","35","PLAY_ONE","0","34","35","21030","67556","1074383","2","5","9457","0"
"sample","3","20260910","36","CHALLENGE","1","35","36","16771","55274","1270099","1","6","9340","151"
"sample","3","20260910","37","ADVANCE_ROUND","0","36","37","27341","71505","1054486","2","5","9162","0"
"sample","3","20260910","38","PLAY_ONE","3","37","38","20819","93135","1137220","1","6","9422","172"
"sample","3","20260910","39","CHALLENGE","4","38","39","17733","57568","1051249","1","6","9314","151"
"sample","3","20260910","40","ADVANCE_ROUND","0","39","40","26910","67927","1005343","2","5","9163","0"
"sample","3","20260910","41","PLAY_ONE","4","40","41","20638","55114","1112474","1","6","9425","172"
"sample","3","20260910","42","CHALLENGE","0","41","42","14597","52629","1002939","2","5","9155","0"
"sample","3","20260910","43","ADVANCE_ROUND","0","42","43","28283","67787","968033","2","5","9186","0"
"sample","3","20260910","44","PLAY_ONE","0","43","44","21029","62858","983492","2","5","9319","0"
"sample","3","20260910","45","CHALLENGE","3","44","45","19667","59922","1006866","1","6","9376","151"
"sample","3","20260910","46","ADVANCE_ROUND","0","45","46","27792","70652","1126781","2","5","9190","0"
"sample","3","20260910","47","PLAY_ONE","3","46","47","22392","68248","1094861","1","6","9449","173"
"sample","3","20260910","48","CHALLENGE","4","47","48","17583","54061","1000955","1","6","9165","151"
"sample","3","20260910","49","ADVANCE_ROUND","0","48","49","27331","75151","1188887","2","5","9021","0"
"sample","3","20260910","50","PLAY_ONE","0","49","50","20218","63960","993731","2","5","9154","0"
"sample","3","20260910","51","CHALLENGE","3","50","51","14979","55864","1032234","1","6","9206","151"
"sample","3","20260910","52","ADVANCE_ROUND","0","51","52","25818","64721","1136168","2","5","9035","0"
"sample","3","20260910","53","PLAY_ONE","3","52","53","23253","74800","1144735","1","6","9295","173"
"sample","3","20260910","54","CHALLENGE","0","53","54","16330","53050","1043725","2","5","9005","0"
"sample","4","20260910","0","INITIAL","0","0","0",,"13645","751","1","0","0","0"
"sample","4","20260910","1","JOIN","1","0","1",,"72625","114144","1","1","599","192"
"sample","4","20260910","2","JOIN","2","1","2",,"47950","220102","1","2","1225","192"
"sample","4","20260910","3","JOIN","3","2","3",,"45265","351227","1","3","1998","193"
"sample","4","20260910","4","JOIN","4","3","4",,"49313","513292","1","4","2917","193"
"sample","4","20260910","5","JOIN","5","4","5",,"52078","631914","1","5","3982","193"
"sample","4","20260910","6","READY","1","5","6",,"51917","569807","1","6","4014","163"
"sample","4","20260910","7","READY","2","6","7",,"28494","532387","1","6","4009","163"
"sample","4","20260910","8","READY","3","7","8",,"29475","560139","1","6","4004","163"
"sample","4","20260910","9","READY","4","8","9",,"28934","543247","1","6","3999","163"
"sample","4","20260910","10","READY","5","9","10",,"28162","613229","1","6","4000","163"
"sample","4","20260910","11","START_GAME","0","10","11","68549","170729","969937","2","5","8655","0"
"sample","4","20260910","12","PLAY_ONE","0","11","12","20559","63539","993651","2","5","8788","0"
"sample","4","20260910","13","PLAY_ONE","1","12","13","21119","64901","1008961","1","6","8913","172"
"sample","4","20260910","14","PLAY_ONE","2","13","14","20579","66595","1024910","1","6","8883","172"
"sample","4","20260910","15","PLAY_ONE","3","14","15","21320","65914","999563","1","6","8854","172"
"sample","4","20260910","16","PLAY_ONE","4","15","16","21490","65653","980317","1","6","8825","172"
"sample","4","20260910","17","PLAY_ONE","5","16","17","20177","62878","944680","1","6","8798","172"
"sample","4","20260910","18","CHALLENGE","0","17","18","15710","83436","1010112","2","5","9513","0"
"sample","4","20260910","19","ADVANCE_ROUND","0","18","19","28834","65042","1018307","2","5","9638","0"
"sample","4","20260910","20","PLAY_ONE","1","19","20","21180","81673","1076798","1","6","9898","172"
"sample","4","20260910","21","CHALLENGE","2","20","21","16000","94217","1036471","1","6","9785","151"
"sample","4","20260910","22","ADVANCE_ROUND","0","21","22","20287","80781","1123074","2","5","9638","0"
"sample","4","20260910","23","PLAY_ONE","2","22","23","38933","79088","1355349","1","6","9898","172"
"sample","4","20260910","24","CHALLENGE","3","23","24","18715","65723","1206630","1","6","9656","151"
"sample","4","20260910","25","ADVANCE_ROUND","0","24","25","31118","72767","1062030","2","5","9474","0"
"sample","4","20260910","26","PLAY_ONE","3","25","26","23264","271879","1101123","1","6","9733","172"
"sample","4","20260910","27","CHALLENGE","4","26","27","15799","54131","1096064","1","6","9625","151"
"sample","4","20260910","28","ADVANCE_ROUND","0","27","28","23063","64040","1013839","2","5","9479","0"
"sample","4","20260910","29","PLAY_ONE","4","28","29","10490","72406","1115399","1","6","9738","172"
"sample","4","20260910","30","CHALLENGE","5","29","30","16501","151154","1074012","1","6","9625","151"
"sample","4","20260910","31","ADVANCE_ROUND","0","30","31","23925","64892","1006706","2","5","9482","0"
"sample","4","20260910","32","PLAY_ONE","5","31","32","10410","52889","1071427","1","6","9744","172"
"sample","4","20260910","33","CHALLENGE","0","32","33","16791","49602","992910","2","5","9345","0"
"sample","4","20260910","34","ADVANCE_ROUND","0","33","34","49011","78036","990315","2","5","9324","0"
"sample","4","20260910","35","PLAY_ONE","0","34","35","22692","77485","994833","2","5","9457","0"
"sample","4","20260910","36","CHALLENGE","1","35","36","15940","47539","989815","1","6","9340","151"
"sample","4","20260910","37","ADVANCE_ROUND","0","36","37","29886","57899","976109","2","5","9162","0"
"sample","4","20260910","38","PLAY_ONE","3","37","38","10039","77115","1027725","1","6","9422","172"
"sample","4","20260910","39","CHALLENGE","4","38","39","15239","48060","974616","1","6","9314","151"
"sample","4","20260910","40","ADVANCE_ROUND","0","39","40","23063","56526","925744","2","5","9163","0"
"sample","4","20260910","41","PLAY_ONE","4","40","41","9337","48741","976870","1","6","9425","172"
"sample","4","20260910","42","CHALLENGE","0","41","42","27511","48772","983342","2","5","9155","0"
"sample","4","20260910","43","ADVANCE_ROUND","0","42","43","23865","105879","1070506","2","5","9186","0"
"sample","4","20260910","44","PLAY_ONE","0","43","44","11952","58810","1199818","2","5","9319","0"
"sample","4","20260910","45","CHALLENGE","3","44","45","19366","209313","1363865","1","6","9376","151"
"sample","4","20260910","46","ADVANCE_ROUND","0","45","46","27912","71264","1143572","2","5","9190","0"
"sample","4","20260910","47","PLAY_ONE","3","46","47","11983","55885","1289425","1","6","9449","173"
"sample","4","20260910","48","CHALLENGE","4","47","48","30617","51346","1205208","1","6","9165","151"
"sample","4","20260910","49","ADVANCE_ROUND","0","48","49","25568","88005","1121952","2","5","9021","0"
"sample","4","20260910","50","PLAY_ONE","0","49","50","11282","53781","1118395","2","5","9154","0"
"sample","4","20260910","51","CHALLENGE","3","50","51","6723","48891","1233471","1","6","9206","151"
"sample","4","20260910","52","ADVANCE_ROUND","0","51","52","25798","66304","1099770","2","5","9035","0"
"sample","4","20260910","53","PLAY_ONE","3","52","53","11191","56396","1097315","1","6","9295","173"
"sample","4","20260910","54","CHALLENGE","0","53","54","9228","46026","1109438","2","5","9005","0"
