Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[   0% ] first_scan_filesystem | Started Project initialization (5 steps)
[  47% ] reimport | icon_sound_off.svg
[  50% ] reimport | partydeck_mark.svg
[  52% ] reimport | rank_crown.svg
[  54% ] reimport | rank_moon.svg
[  56% ] reimport | rank_star.svg
[  58% ] reimport | rank_wild.svg
[  60% ] reimport | back.png
[  62% ] reimport | face_crown.png
[  64% ] reimport | face_moon.png
[  66% ] reimport | face_star.png
[  68% ] reimport | face_wild.png
[  70% ] reimport | crown.png
[  72% ] reimport | crown_mask.png
[  75% ] reimport | moon.png
[  77% ] reimport | moon_mask.png
[  79% ] reimport | star.png
[  81% ] reimport | star_mask.png
[  83% ] reimport | wild.png
[  85% ] reimport | fraunces_semibold.ttf
[  87% ] reimport | manrope_medium.ttf
[  89% ] reimport | manrope_regular.ttf
[  91% ] reimport | manrope_semibold.ttf
[  93% ] reimport | icon_check.svg
[  95% ] reimport | icon_close.svg
[  97% ] reimport | Finalizing Asset Import...
[ DONE ] reimport

[   0% ] reimport | Started (Re)Importing Assets (47 steps)
[   0% ] reimport | Executing post-reimport operations...
[ DONE ] reimport

[   0% ] loading_editor_layout | Started Loading editor (5 steps)
[   0% ] loading_editor_layout | Loading editor layout...
[  16% ] loading_editor_layout | Loading docks...
[ DONE ] loading_editor_layout

